comment_id,parent_comment_id,create_time,video_id,content,user_id,nickname,avatar,sub_comment_count,last_modify_ts
1.36E+11,0,1667199063,638194353,老师讲的很严谨，讲的太好了[脱单doge],486617539,为冉如初,https://i1.hdslb.com/bfs/face/dcbffc10e7e604b61bc8ace04a6c145fb5d242c4.jpg,0,1.74E+12
1.28E+11,0,1662103453,638194353,请问是第几版教材呀！,14097387,catasCT,https://i0.hdslb.com/bfs/face/583ce4d7cb4a0e8dd9360bb78967b4b8ff4fb6eb.jpg,1,1.74E+12
1.27E+11,0,1661243639,638194353,求求UP主告诉我什么是  有交并 与 无交并,444376216,籽花的葵日向,http://i1.hdslb.com/bfs/face/9ca32d034256d631ef353670d2147dbf909e6822.jpg,0,1.74E+12
1.16E+11,0,1654958053,638194353,实验6、7呢,346210186,40489212181_bili,https://i0.hdslb.com/bfs/face/member/noface.jpg,0,1.74E+12
3277147970,0,1596361432,54100790,"按ESC可以退出编辑当前的单元格，Enter进入；Shift+Enter渲染MarkDown或者执行代码

单元格有两种模式，绿色框（编辑模式）和蓝色框（命令模式）；在命令模式下按X剪切，按C复制单元格，按Z恢复，shift+v粘贴单元格到上方，V粘贴到当前；

在退出编辑状态时，按下M键，可以由代码编程转为编写Markdown语言；按下Y可以变成代码单元格

快捷键按H查看；在退出编辑时按B（below）可以在当前单元格下创建代码块，按A（above）是在上方创建，按D（delete）删除当前代码块；针对代码块按Shift+Enter可以执行当前并跳到下一单元格；按Ctrl+Enter是之执行当前单元格；按Alt+Enter是运行当前代码块并在其下方新建一行代码块

在代码段中命令模式，按L给代码标出行数
file:///C:/Users/Administrator/Desktop/Jupyter+%E4%BD%BF%E7%94%A8%E6%95%99%E7%A8%8B.html",224681969,季晓歌_Amber,https://i2.hdslb.com/bfs/face/051fa4f67d47aaef3aa827c49e4f3f277732cbc1.jpg,19,1.74E+12
5077647376,0,1628153972,54100790,"快速入门Jupyter notebook P1 - 08:04
﻿命令（蓝色框）模式 回车 到编辑模式
编辑（绿色框）模式 ESC 到命令模式

快速入门Jupyter notebook P1 - 09:08
命令模式下：
m键，可以直接输入markdown格式内容
按y，可以变回代码格式

快速入门Jupyter notebook P1 - 09:15
命令模式下：
Shift➕回车 运行当前代码块，并跳到下一个代码块
Ctrl➕回车，只会运行当前代码块
Alt➕回车，运行当前代码块，并向下新建一个代码块
按b，向下新建一个代码块
按a，向上新建一个代码块
按c，复制当前代码块（单元格）
按x，剪切掉当前代码块
按v，粘贴到当前代码块；按shift➕v，粘贴到上一个代码块
按z，撤回操作
对于多行代码，在代码块命令模式下，按L，可以对代码标行数
按dd（两次），删除代码块

快速入门Jupyter notebook P1 - 10:04
看up另外的一个视频：20分钟精通排板神器markdown

快速入门Jupyter notebook P1 - 10:40
按h键，可以调出markdown的快捷键介绍表格

快速入门Jupyter notebook P1 - 13:49
$与$之间，表示：当前行内，内联公式
$$与$$之间，表示：单独一行公式
Latex，公式编辑器强大",32094655,和德普一起远航,https://i1.hdslb.com/bfs/face/9733c80610f3d0a88c5e44707080309d95b779ff.jpg,17,1.74E+12
2073304423,0,1572624785,54100790,"学习签到：
2019.10.30 av66756070 5分钟学会Python爬取整个网站
2019.10.30 av35698354 Python编程 从入门到实践 演示视频
2019.10.31 av59562092 2019全新Python入门/Python自学/PYTHON3/Python从入门到精通
2019.10.31 av54831940 【用Python处理Excel数据，中文全基础系列教程】
2019.10.31 av30013132 【尚硅谷】Python核心基础视频教程
2019.11.01 av47288166 刚用Python写了个扫雷脚本，8s完成游戏
2019.11.02 av54100790 python数据分析神器Jupyter notebook快速入门",15218253,账号已注销,https://i0.hdslb.com/bfs/face/member/noface.jpg,24,1.74E+12
2194747238,0,1576920230,54100790,"可能有人和我一样需要这个，
pip install jupyter -i https://pypi.tuna.tsinghua.edu.cn/simple",7229804,天使になるPATH,https://i2.hdslb.com/bfs/face/27cb3667ce8543bed742d6fc20c214b459bc2d9f.jpg,25,1.74E+12
4193377341,0,1614397528,54100790,"快捷键操作：
1、编辑模式下：
            enter:下一行
            ctrl+enter:结束此段代码并显示运行结果
            shift+enter：执行当前代码块并进入下一代码块
            esc：退出当前代码块
2、命令模式下：
            A：向上创建一个代码块
            B：向下创建一个代码块
            DD：删除本代码块
            L：标记代码行数
            M：变成mark down模式
            Y：变成代码模式
    标记单元格可以用于输入文字
数学公式：
1、$$指单行公式，输出居中
2、$指行内公式",52063914,泽也d,http://i0.hdslb.com/bfs/face/member/noface.jpg,0,1.74E+12
2727063640,0,1587007030,54100790,忍不住了 吴亦凡的声音 太跳戏了 哈哈哈哈哈哈哈哈,253810913,FateStomer,https://i2.hdslb.com/bfs/face/5747c3c8ce30f21bfc8437bad66423452e2cedc4.jpg,1,1.74E+12
